c86db01,Kieran T,wisp fixes,,13 hours ago,,,
ebec66d,melina.ayala,added splash screens to game,,13 hours ago,,,
d3e91aa,melina.ayala,Bugfixing,,Sun 21:55,,,
6ccc764,melina.ayala,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Sun 18:48,,,
7.92E+25,melina.ayala,Bugfixing,,Sun 18:48,,,
b1e17a6,Alex Wood,Final Level Edit/Production light bake,,Sun 18:10,,,
76fac14,melina.ayala,Bugfixing,,Sun 16:09,,,
9fa72ae,melina.ayala,Deleted unused assets and fixed 2 bugs,,Sun 15:34,,,
c1dd781,melina.ayala,Tweaked tutorial assets,,Sun 14:35,,,
8be0318,Kieran T,fixed wisp health,,Thu 22:32,,,
336ffe8,Alex-J-Wood,Rotated torch in Alpha and Trailer - baked preview lighting in trailer,,Tue May 9 14:58,,,
5f9cdc7,melina.ayala,Included level for trailer,,Tue May 9 13:33,,,
abbbe04,melina.ayala,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Fri May 5 02:58,,,
2836197,melina.ayala,Tweaked tutorial and added winscreen,,Fri May 5 02:58,,,
dd09ab5,Alex Wood,Minor edit - added a light to blue side,,Wed May 3 21:05,,,
b58b2c2,Alex Wood,Beta Level - Art Finalised,,Wed May 3 20:28,,,
343624c,K.Thorpe,fixed damage,,Wed May 3 19:30,,,
10e959d,melina.ayala,Update Prototype_Alpha_Test1.umap,,Wed May 3 17:11,,,
3eff9fc,melina.ayala,Changed number of enemies spawning,,Wed May 3 17:00,,,
9deb1d7,melina.ayala,changed nav meshes,,Wed May 3 16:57,,,
971e871,melina.ayala,Fixed audio in level,,Wed May 3 16:38,,,
71dd7b8,melina.ayala,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Wed May 3 16:28,,,
09001b1,melina.ayala,Fixed Pause Menu and Fixed music in level,,Wed May 3 16:28,,,
9f1c8d9,Alex Wood,Fixing collisions/map issues,,Wed May 3 15:57,,,
73e0770,Thekandabid,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Wed May 3 15:41,,,
5f03811,Thekandabid,Altered volume settings for intro cutscene,,Wed May 3 15:40,,,
a0440e3,Alex Wood,Mainmenu_lighting edit,,Wed May 3 15:27,,,
acc078e,Alex Wood,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Wed May 3 15:07,,,
3a55bc0,Alex Wood,Beta_iteration, lods and dressing,,Wed May 3 15:06,,
2.12E+18,Thekandabid,Added cutscene dialogue, adjusted volume levels on tracks, switched out sfx for pickaxe catch and warcry,,Wed May 3 14:14,
1ab587c,Alex Wood,StandingStoneImplemented and set dressing,,Wed May 3 13:23,,,
204f69b,K.Thorpe,fixed pick damage,,Wed May 3 13:14,,,
49d104d,K.Thorpe,"Revert ""Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation""",This reverts commit 0f9d68fbd19d23420515cac32653ed7602a8a7d2, reversing,,,
changes made to 3390f20260c97cd4cfe392cf41cd190cdd37c2f9.,,,,,,,
,Wed May 3 11:30,,,,,,
0f9d68f,Alex Wood,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Wed May 3 00:23,,,
3390f20,Alex Wood,Beta Iteration_Banners/wind and feast room,,Wed May 3 00:22,,,
d2ac656,K.Thorpe,camera,,Tue May 2 20:38,,,
0a3db83,melina.ayala,Fixing FOV when running,,Tue May 2 20:25,,,
f67f5ac,melina.ayala,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 20:20,,,
82930ca,melina.ayala,Added damage shader to wisps and players,,Tue May 2 20:19,,,
752c116,K.Thorpe,"Revert ""Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation""",This reverts commit 101efaaa11f4732a52ffe66eace3523d94c9d698, reversing,,,
changes made to 566b37227bd3e2a7b929214f537bc89085ed1021.,,,,,,,
,Tue May 2 20:15,,,,,,
101efaa,K.Thorpe,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 20:11,,,
566b372,K.Thorpe,fixed samina,,Tue May 2 20:11,,,
0f5a8e6,Alex Wood,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 19:43,,,
e302f88,melina.ayala,Added splash screen,,Tue May 2 18:54,,,
c931d4f,melina.ayala,Sped up respawn,,Tue May 2 18:22,,,
3c75fb3,K.Thorpe,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 17:06,,,
611c6d4,K.Thorpe,wisp part fix,,Tue May 2 17:06,,,
a38bf35,Alex-J-Wood,Beta - Rail implemented,,Tue May 2 16:35,,,
d45331a,melina.ayala,Made more damage shaders,,Tue May 2 16:31,,,
f071ab8,melina.ayala,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 15:57,,,
c2cd17e,melina.ayala,Working on damage shaders,,Tue May 2 15:57,,,
923c130,K.Thorpe,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 14:53,,,
e747dc7,Alex-J-Wood,Wisp Particle Migration,,Tue May 2 14:48,,,
efc1b0c,K.Thorpe,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 14:48,,,
166a53b,K.Thorpe,added pickaxe sounds,,Tue May 2 14:47,,,
e77aa58,Alex-J-Wood,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 14:02,,,
89d8276,Alex-J-Wood,Beta_Iteration on campus,,Tue May 2 14:02,,,
f38434c,K.Thorpe,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 13:59,,,
71ec8e4,K.Thorpe,movement and shader stuff,,Tue May 2 13:58,,,
b3b4066,Thekandabid,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 13:38,,,
2ac0a81,Thekandabid,Added more sfx to the pickaxe,,Tue May 2 13:38,,,
ef2862a,melina.ayala,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 13:35,,,
52aebbc,melina.ayala,Fixing shaders and fixing music volume in main menu,,Tue May 2 13:35,,,
91093f3,K.Thorpe,Merge branch 'Optimisation' of https://github.com/Fireside-Tales/DES310_Dwarf_Game into Optimisation,,Tue May 2 13:02,,,
307f546,K.Thorpe,sound changes,,Tue May 2 13:02,,,
51f7b7a,melina.ayala,Changed anchors in main menu,,Tue May 2 12:32,,,
